starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 05 18:12:47 2023	1699197167	0	8	8	8
Sun Nov 05 18:12:46 2023	1699197166	0	9	9	9
Sun Nov 05 18:12:47 2023	1699197167	0	9	9	9
Sun Nov 05 18:12:46 2023	1699197166	0	9	9	9
Sun Nov 05 18:12:46 2023	1699197166	0	10	10	10
Sun Nov 05 18:12:46 2023	1699197166	0	10	10	10
Sun Nov 05 18:12:46 2023	1699197166	0	10	10	10
Sun Nov 05 18:12:46 2023	1699197166	0	10	10	10
Sun Nov 05 18:12:46 2023	1699197166	0	10	10	10
Sun Nov 05 18:12:47 2023	1699197167	0	10	10	10
Sun Nov 05 18:12:46 2023	1699197166	0	10	10	10
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:47 2023	1699197167	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	11	11	11
Sun Nov 05 18:12:46 2023	1699197166	0	12	12	12
Sun Nov 05 18:12:46 2023	1699197166	0	12	12	12
Sun Nov 05 18:12:47 2023	1699197167	0	12	12	12
Sun Nov 05 18:12:46 2023	1699197166	0	12	12	12
Sun Nov 05 18:12:46 2023	1699197166	0	12	12	12
Sun Nov 05 18:12:46 2023	1699197166	0	12	12	12
Sun Nov 05 18:12:46 2023	1699197166	0	12	12	12
Sun Nov 05 18:12:46 2023	1699197166	0	12	12	12
Sun Nov 05 18:12:46 2023	1699197166	0	12	12	12
Sun Nov 05 18:12:46 2023	1699197166	0	12	12	12
Sun Nov 05 18:12:45 2023	1699197165	0	13	13	13
Sun Nov 05 18:12:47 2023	1699197167	0	13	13	13
Sun Nov 05 18:12:47 2023	1699197167	0	13	13	13
Sun Nov 05 18:12:46 2023	1699197166	0	13	13	13
Sun Nov 05 18:12:46 2023	1699197166	0	13	13	13
Sun Nov 05 18:12:47 2023	1699197167	0	13	13	13
Sun Nov 05 18:12:46 2023	1699197166	0	13	13	13
Sun Nov 05 18:12:47 2023	1699197167	0	13	13	13
Sun Nov 05 18:12:46 2023	1699197166	0	13	13	13
Sun Nov 05 18:12:46 2023	1699197166	0	13	13	13
Sun Nov 05 18:12:46 2023	1699197166	0	13	13	13
Sun Nov 05 18:12:47 2023	1699197167	0	13	13	13
Sun Nov 05 18:12:46 2023	1699197166	0	13	13	13
Sun Nov 05 18:12:46 2023	1699197166	0	13	13	13
Sun Nov 05 18:12:47 2023	1699197167	0	14	14	14
Sun Nov 05 18:12:47 2023	1699197167	0	14	14	14
Sun Nov 05 18:12:47 2023	1699197167	0	14	14	14
Sun Nov 05 18:12:46 2023	1699197166	0	14	14	14
